Episode,timestep,reward1,reward2
3594,3600,-25.1849,25.1849
7194,7200,432.768,-432.768
10794,10800,-75.6509,75.6509
14393,14400,52.1607,-52.1607
17991,18000,135.6846,-135.6846
21583,21600,146.3637,-146.3637
25180,25200,-226.6907,226.6907
28777,28800,-22.4719,22.4719
32373,32400,-78.4148,78.4148
35971,36000,518.3892,-518.3892
39571,39600,367.225,-367.225
43167,43200,-82.285,82.285
46765,46800,-543.0458,543.0458
50362,50400,-178.4727,178.4727
53961,54000,-110.5702,110.5702
57555,57600,-247.1418,247.1418
61152,61200,-64.6659,64.6659
64747,64800,36.6307,-36.6307
68345,68400,283.2807,-283.2807
71934,72000,-182.0783,182.0783
75532,75600,149.8216,-149.8216
79130,79200,55.0717,-55.0717
82730,82800,7.6939,-7.6939
86330,86400,-140.2456,140.2456
89930,90000,50.666,-50.666
93525,93600,-248.8813,248.8813
97123,97200,-320.5619,320.5619
100719,100800,-394.7344,394.7344
104318,104400,475.8153,-475.8153
107918,108000,-291.9129,291.9129
111513,111600,203.9725,-203.9725
115110,115200,-85.0993,85.0993
118709,118800,-373.5096,373.5096
122306,122400,278.8851,-278.8851
125905,126000,202.1295,-202.1295
129502,129600,532.2676,-532.2676
133100,133200,122.9662,-122.9662
136698,136800,-93.4813,93.4813
140297,140400,322.0115,-322.0115
143896,144000,-238.8868,238.8868
147494,147600,-160.6232,160.6232
151088,151200,-188.0441,188.0441
154682,154800,-304.7662,304.7662
158278,158400,173.3196,-173.3196
161875,162000,-472.7343,472.7343
165473,165600,-157.5428,157.5428
169069,169200,109.4136,-109.4136
172665,172800,287.9252,-287.9252
176262,176400,-141.6319,141.6319
179859,180000,-83.5589,83.5589
183456,183600,312.1868,-312.1868
187053,187200,-357.8453,357.8453
190651,190800,276.168,-276.168
194250,194400,-343.0459,343.0459
197849,198000,172.71,-172.71
201447,201600,433.0537,-433.0537
205043,205200,57.2902,-57.2902
208641,208800,-660.1543,660.1543
212240,212400,-336.1547,336.1547
215834,216000,349.8888,-349.8888
219430,219600,-8.6632,8.6632
223028,223200,-20.9563,20.9563
226626,226800,128.365,-128.365
230226,230400,60.7989,-60.7989
233824,234000,494.7818,-494.7818
237420,237600,-67.3008,67.3008
241019,241200,91.7013,-91.7013
244615,244800,-76.6652,76.6652
248209,248400,388.4356,-388.4356
251805,252000,-245.4967,245.4967
255405,255600,517.4485,-517.4485
259003,259200,259.2003,-259.2003
262600,262800,-120.2901,120.2901
266197,266400,-204.7447,204.7447
269794,270000,151.1452,-151.1452
273390,273600,-145.1208,145.1208
276983,277200,379.9992,-379.9992
280580,280800,104.3808,-104.3808
284177,284400,-382.0307,382.0307
287774,288000,43.8668,-43.8668
291372,291600,-443.4903,443.4903
294970,295200,-91.7874,91.7874
298567,298800,529.3541,-529.3541
302160,302400,4.342,-4.342
305756,306000,-34.3647,34.3647
309354,309600,181.767,-181.767
312953,313200,-414.3542,414.3542
316549,316800,-141.2898,141.2898
320147,320400,-68.9624,68.9624
323744,324000,505.444,-505.444
327343,327600,-417.9196,417.9196
330938,331200,-278.7626,278.7626
334536,334800,-241.3729,241.3729
338131,338400,135.6232,-135.6232
341728,342000,-333.2914,333.2914
345327,345600,159.6472,-159.6472
348926,349200,-218.0852,218.0852
352524,352800,217.669,-217.669
356122,356400,91.5545,-91.5545
359722,360000,513.5839,-513.5839
363321,363600,-83.4198,83.4198
366920,367200,-225.8918,225.8918
370517,370800,39.0446,-39.0446
374115,374400,385.6843,-385.6843
377715,378000,-136.4491,136.4491
381313,381600,0.5173,-0.5173
384912,385200,517.243,-517.243
388509,388800,319.6877,-319.6877
392106,392400,-81.108,81.108
395701,396000,-167.796,167.796
399298,399600,-389.7853,389.7853
402893,403200,-190.3607,190.3607
406489,406800,-263.8758,263.8758
410088,410400,-405.9515,405.9515
413687,414000,-106.0037,106.0037
417283,417600,-163.0739,163.0739
420879,421200,258.0473,-258.0473
424478,424800,422.4717,-422.4717
428078,428400,-224.024,224.024
431674,432000,-358.2764,358.2764
435272,435600,76.5744,-76.5744
438868,439200,179.4346,-179.4346
442467,442800,403.9247,-403.9247
446066,446400,-508.7831,508.7831
449660,450000,5.3227,-5.3227
453257,453600,380.0495,-380.0495
456856,457200,246.312,-246.312
460454,460800,419.5409,-419.5409
464052,464400,136.0812,-136.0812
467649,468000,373.3415,-373.3415
471243,471600,136.7505,-136.7505
474840,475200,-211.6246,211.6246
478438,478800,-26.5049,26.5049
482038,482400,178.4773,-178.4773
485636,486000,54.8154,-54.8154
489235,489600,328.2151,-328.2151
492831,493200,-243.9128,243.9128
496426,496800,-154.5158,154.5158
500026,500400,464.7545,-464.7545
503618,504000,-347.6433,347.6433
507218,507600,-189.5339,189.5339
510816,511200,-119.0637,119.0637
514415,514800,-639.3796,639.3796
518012,518400,67.8324,-67.8324
521605,522000,-75.4269,75.4269
525205,525600,-3.5544,3.5544
528798,529200,-132.2008,132.2008
532395,532800,-13.823,13.823
535991,536400,340.9401,-340.9401
539588,540000,-250.3938,250.3938
543185,543600,487.7536,-487.7536
546779,547200,-180.6308,180.6308
550377,550800,-50.0513,50.0513
553974,554400,84.7944,-84.7944
557573,558000,-144.5728,144.5728
561171,561600,305.7706,-305.7706
564768,565200,61.244,-61.244
568365,568800,-110.3891,110.3891
571960,572400,193.6433,-193.6433
575557,576000,-580.8471,580.8471
579155,579600,15.7982,-15.7982
582751,583200,-589.0815,589.0815
586347,586800,-443.063,443.063
589944,590400,126.0696,-126.0696
593540,594000,5.0962,-5.0962
597137,597600,307.2766,-307.2766
600734,601200,93.1558,-93.1558
604329,604800,-2.5247,2.5247
607929,608400,-206.412,206.412
611525,612000,135.5406,-135.5406
615123,615600,180.0441,-180.0441
618722,619200,321.542,-321.542
622317,622800,-172.257,172.257
625914,626400,599.4003,-599.4003
629510,630000,521.3986,-521.3986
633106,633600,304.7829,-304.7829
636701,637200,121.8482,-121.8482
640300,640800,-393.0825,393.0825
643894,644400,-643.9995,643.9995
647491,648000,-296.3922,296.3922
651089,651600,-274.8588,274.8588
654684,655200,-196.7805,196.7805
658282,658800,405.5357,-405.5357
661876,662400,-96.2162,96.2162
665473,666000,46.0487,-46.0487
669072,669600,-473.0584,473.0584
672671,673200,-9.3649,9.3649
676268,676800,-518.1947,518.1947
679863,680400,-441.3156,441.3156
683462,684000,185.3744,-185.3744
687056,687600,60.4475,-60.4475
690655,691200,451.0673,-451.0673
694253,694800,-458.0873,458.0873
697851,698400,81.9265,-81.9265
701447,702000,312.1649,-312.1649
705045,705600,-145.1932,145.1932
708640,709200,-219.4308,219.4308
712237,712800,424.5504,-424.5504
715836,716400,-116.4884,116.4884
719435,720000,469.6434,-469.6434
723032,723600,-42.9913,42.9913
726627,727200,282.3793,-282.3793
730218,730800,198.9204,-198.9204
733814,734400,306.9898,-306.9898
737413,738000,292.7407,-292.7407
741009,741600,194.7374,-194.7374
744604,745200,10.6849,-10.6849
748196,748800,203.7634,-203.7634
751793,752400,256.0248,-256.0248
755393,756000,339.5977,-339.5977
758990,759600,414.6814,-414.6814
762588,763200,246.4794,-246.4794
766188,766800,310.9653,-310.9653
769786,770400,-71.3215,71.3215
773385,774000,649.2034,-649.2034
776977,777600,149.9744,-149.9744
780573,781200,-152.2679,152.2679
784171,784800,-136.5816,136.5816
787768,788400,15.8532,-15.8532
791367,792000,371.9684,-371.9684
794965,795600,374.5497,-374.5497
798561,799200,120.1266,-120.1266
802159,802800,-277.5531,277.5531
805757,806400,463.3959,-463.3959
809355,810000,-590.6819,590.6819
812947,813600,-153.5087,153.5087
816546,817200,123.2775,-123.2775
820143,820800,120.7217,-120.7217
823739,824400,187.1464,-187.1464
827337,828000,-603.0483,603.0483
830936,831600,71.304,-71.304
834530,835200,302.6386,-302.6386
838129,838800,-505.2145,505.2145
841728,842400,-97.1086,97.1086
845325,846000,303.4213,-303.4213
848921,849600,-331.6055,331.6055
852517,853200,412.4963,-412.4963
856116,856800,200.374,-200.374
859714,860400,390.1183,-390.1183
863307,864000,-303.3636,303.3636
866902,867600,324.8351,-324.8351
870499,871200,-50.0474,50.0474
874091,874800,-80.9174,80.9174
877687,878400,567.8186,-567.8186
881280,882000,-46.2936,46.2936
884878,885600,469.1253,-469.1253
888477,889200,688.6328,-688.6328
892074,892800,608.3876,-608.3876
895672,896400,292.9682,-292.9682
899270,900000,164.1663,-164.1663
902870,903600,-457.0828,457.0828
906469,907200,-45.3807,45.3807
910064,910800,-458.3902,458.3902
913664,914400,-42.8084,42.8084
917262,918000,-308.5732,308.5732
920861,921600,133.8328,-133.8328
924460,925200,-504.3548,504.3548
928057,928800,-425.6647,425.6647
931654,932400,66.4989,-66.4989
935251,936000,-167.6739,167.6739
938847,939600,-324.7415,324.7415
942443,943200,212.9024,-212.9024
946041,946800,415.9588,-415.9588
949638,950400,-339.159,339.159
953237,954000,-44.1283,44.1283
956834,957600,171.2905,-171.2905
960431,961200,-449.6581,449.6581
964030,964800,-229.7218,229.7218
967625,968400,460.2749,-460.2749
971223,972000,-146.9018,146.9018
974820,975600,-242.9045,242.9045
978414,979200,394.3114,-394.3114
982011,982800,68.9169,-68.9169
985606,986400,249.1287,-249.1287
989201,990000,-142.5896,142.5896
992800,993600,-492.3851,492.3851
996399,997200,48.2109,-48.2109
999997,1000800,-402.402,402.402
1003595,1004400,-224.4474,224.4474
1007189,1008000,163.0728,-163.0728
1010785,1011600,243.9541,-243.9541
1014382,1015200,543.359,-543.359
1017975,1018800,387.5207,-387.5207
1021575,1022400,-250.166,250.166
1025171,1026000,129.8162,-129.8162
1028769,1029600,39.2606,-39.2606
1032365,1033200,323.1499,-323.1499
1035961,1036800,413.7167,-413.7167
1039554,1040400,165.4607,-165.4607
1043153,1044000,-170.2482,170.2482
1046751,1047600,-375.7637,375.7637
1050344,1051200,243.1085,-243.1085
1053937,1054800,188.7576,-188.7576
1057532,1058400,155.5403,-155.5403
1061130,1062000,314.417,-314.417
1064726,1065600,223.3502,-223.3502
1068322,1069200,-45.2111,45.2111
1071919,1072800,-184.6987,184.6987
1075517,1076400,18.3358,-18.3358
1079114,1080000,95.2012,-95.2012
1082710,1083600,532.4419,-532.4419
1086307,1087200,417.3966,-417.3966
1089904,1090800,-257.1955,257.1955
1093504,1094400,-28.1915,28.1915
1097102,1098000,-286.1618,286.1618
1100700,1101600,-566.3665,566.3665
1104297,1105200,-539.2569,539.2569
1107894,1108800,133.9701,-133.9701
1111493,1112400,-441.0431,441.0431
1115090,1116000,-48.089,48.089
1118687,1119600,4.3245,-4.3245
1122287,1123200,-281.494,281.494
1125887,1126800,223.3618,-223.3618
1129486,1130400,-732.006,732.006
1133079,1134000,-98.4589,98.4589
1136673,1137600,11.3121,-11.3121
1140270,1141200,452.3868,-452.3868
1143868,1144800,33.9407,-33.9407
1147463,1148400,-110.6011,110.6011
1151059,1152000,-41.0912,41.0912
1154656,1155600,279.7561,-279.7561
1158250,1159200,181.4376,-181.4376
1161844,1162800,-424.3083,424.3083
1165442,1166400,93.6695,-93.6695
1169040,1170000,-242.1725,242.1725
1172637,1173600,369.9168,-369.9168
1176234,1177200,-277.5201,277.5201
1179829,1180800,47.7481,-47.7481
1183426,1184400,278.4917,-278.4917
1187014,1188000,-115.2054,115.2054
1190608,1191600,159.1105,-159.1105
1194208,1195200,401.0926,-401.0926
1197805,1198800,331.161,-331.161
1201403,1202400,-462.3579,462.3579
1204997,1206000,-314.1425,314.1425
1208591,1209600,-236.6951,236.6951
1212188,1213200,-0.7742,0.7742
1215786,1216800,-162.2045,162.2045
1219378,1220400,-43.2406,43.2406
1222976,1224000,-228.4943,228.4943
1226574,1227600,-296.8288,296.8288
1230169,1231200,271.975,-271.975
1233763,1234800,-541.1134,541.1134
1237359,1238400,57.1179,-57.1179
1240956,1242000,-123.2794,123.2794
1244551,1245600,-242.762,242.762
1248150,1249200,-233.5797,233.5797
1251744,1252800,159.7564,-159.7564
1255339,1256400,260.5709,-260.5709
1258939,1260000,825.5221,-825.5221
1262538,1263600,291.2221,-291.2221
1266130,1267200,-601.4001,601.4001
1269724,1270800,-72.0564,72.0564
1273323,1274400,173.4966,-173.4966
1276923,1278000,45.4787,-45.4787
1280520,1281600,-418.8376,418.8376
1284113,1285200,71.6752,-71.6752
1287711,1288800,-166.7738,166.7738
1291302,1292400,67.3581,-67.3581
1294899,1296000,-25.0828,25.0828
1298494,1299600,191.52,-191.52
1302093,1303200,169.2494,-169.2494
