Episode,timestep,reward1,reward2
3596,3600,18.5269,-18.5269
7196,7200,-55.5279,55.5279
10795,10800,88.5584,-88.5584
14395,14400,186.1044,-186.1044
17995,18000,-150.2825,150.2825
21594,21600,-299.3054,299.3054
25190,25200,-263.2231,263.2231
28788,28800,-552.79,552.79
32387,32400,-161.9802,161.9802
35987,36000,513.8902,-513.8902
39587,39600,-10.552,10.552
43187,43200,-319.4038,319.4038
46785,46800,0.3602,-0.3602
50382,50400,-359.8205,359.8205
53980,54000,-77.3806,77.3806
57578,57600,-2.8336,2.8336
61176,61200,42.7765,-42.7765
64776,64800,-119.7466,119.7466
68375,68400,-370.7704,370.7704
71975,72000,-641.2763,641.2763
75574,75600,354.4383,-354.4383
79174,79200,386.7844,-386.7844
82773,82800,455.9881,-455.9881
86372,86400,394.0226,-394.0226
89970,90000,-304.5499,304.5499
93570,93600,-78.7921,78.7921
97170,97200,541.7762,-541.7762
100768,100800,-124.2625,124.2625
104368,104400,494.9685,-494.9685
107967,108000,-131.5894,131.5894
111565,111600,-31.7161,31.7161
115164,115200,59.4889,-59.4889
118760,118800,98.2528,-98.2528
122360,122400,-197.6382,197.6382
125958,126000,-528.6525,528.6525
129557,129600,-272.8072,272.8072
133157,133200,382.8821,-382.8821
136755,136800,-225.8385,225.8385
140354,140400,192.1655,-192.1655
143954,144000,84.5964,-84.5964
147553,147600,-47.246,47.246
151152,151200,411.3836,-411.3836
154752,154800,-121.178,121.178
158352,158400,-163.2485,163.2485
161952,162000,306.3701,-306.3701
165549,165600,-257.9883,257.9883
169148,169200,580.8549,-580.8549
172748,172800,-185.2916,185.2916
176348,176400,-509.5879,509.5879
179945,180000,227.3729,-227.3729
183543,183600,-261.1154,261.1154
187143,187200,97.9771,-97.9771
190741,190800,639.6174,-639.6174
194339,194400,470.1536,-470.1536
197938,198000,123.5035,-123.5035
201537,201600,458.264,-458.264
205132,205200,169.066,-169.066
208732,208800,-201.5161,201.5161
212331,212400,261.7174,-261.7174
215927,216000,-4.1334,4.1334
219526,219600,210.1038,-210.1038
223125,223200,122.8307,-122.8307
226723,226800,-173.9384,173.9384
230321,230400,610.1002,-610.1002
233920,234000,464.3373,-464.3373
237519,237600,704.7699,-704.7699
241119,241200,353.2787,-353.2787
244718,244800,-517.9262,517.9262
248317,248400,-431.0005,431.0005
251916,252000,176.042,-176.042
255513,255600,142.2663,-142.2663
259109,259200,220.4361,-220.4361
262709,262800,709.5605,-709.5605
266306,266400,22.6558,-22.6558
269904,270000,223.4856,-223.4856
273501,273600,-134.381,134.381
277101,277200,-244.1539,244.1539
280700,280800,-175.8095,175.8095
284298,284400,-374.8592,374.8592
287896,288000,331.7012,-331.7012
291493,291600,-81.3409,81.3409
295092,295200,-276.2483,276.2483
298692,298800,-316.2739,316.2739
302290,302400,68.1794,-68.1794
305887,306000,-476.2273,476.2273
309486,309600,273.3731,-273.3731
313085,313200,-45.4882,45.4882
316683,316800,-191.5764,191.5764
320283,320400,-149.7768,149.7768
323883,324000,-97.5799,97.5799
327480,327600,-272.2486,272.2486
331079,331200,-282.7578,282.7578
334678,334800,39.7038,-39.7038
338277,338400,-199.9516,199.9516
341875,342000,190.0172,-190.0172
345472,345600,-83.7889,83.7889
349071,349200,-422.2534,422.2534
352669,352800,340.18,-340.18
356269,356400,-227.394,227.394
359866,360000,264.6991,-264.6991
363466,363600,268.5524,-268.5524
367066,367200,-692.1935,692.1935
370664,370800,370.2434,-370.2434
374261,374400,-194.4244,194.4244
377857,378000,165.896,-165.896
381456,381600,-424.264,424.264
385055,385200,74.504,-74.504
388652,388800,-166.1545,166.1545
392252,392400,-493.464,493.464
395851,396000,532.2768,-532.2768
399451,399600,440.3832,-440.3832
403051,403200,-73.9811,73.9811
406650,406800,-307.1821,307.1821
410249,410400,-534.7102,534.7102
413848,414000,-9.875,9.875
417447,417600,144.2924,-144.2924
421046,421200,111.357,-111.357
424646,424800,429.6933,-429.6933
428245,428400,250.1031,-250.1031
431844,432000,266.1211,-266.1211
435442,435600,208.2793,-208.2793
439041,439200,53.2123,-53.2123
442641,442800,487.0551,-487.0551
446241,446400,-2.7927,2.7927
449841,450000,451.1213,-451.1213
453439,453600,209.0686,-209.0686
457036,457200,-143.4077,143.4077
460636,460800,-761.4166,761.4166
464236,464400,486.19,-486.19
467835,468000,-163.5932,163.5932
471434,471600,50.8718,-50.8718
475032,475200,608.4365,-608.4365
478631,478800,-163.1981,163.1981
482228,482400,-315.4199,315.4199
485826,486000,-276.3709,276.3709
489424,489600,-109.5722,109.5722
493023,493200,121.701,-121.701
496620,496800,1.0565,-1.0565
500219,500400,-183.5761,183.5761
503819,504000,-281.9919,281.9919
507418,507600,-263.4202,263.4202
511016,511200,-629.8936,629.8936
514615,514800,-257.912,257.912
518214,518400,-324.7664,324.7664
521812,522000,39.0915,-39.0915
525412,525600,178.8447,-178.8447
529012,529200,295.9043,-295.9043
532610,532800,34.2993,-34.2993
536207,536400,-533.8801,533.8801
539807,540000,369.3829,-369.3829
543406,543600,-639.9692,639.9692
547005,547200,383.3502,-383.3502
550605,550800,163.8488,-163.8488
554202,554400,-145.6571,145.6571
557800,558000,308.4142,-308.4142
561400,561600,-417.2912,417.2912
564998,565200,243.0157,-243.0157
568596,568800,326.0413,-326.0413
572194,572400,85.2515,-85.2515
575789,576000,-289.1759,289.1759
