Episode,timestep,reward1,reward2
599,600,221.1452,-221.1452
1199,1200,202.1318,-202.1318
1798,1800,-54.1721,54.1721
2397,2400,-174.1367,174.1367
2997,3000,97.8183,-97.8183
3597,3600,-203.9479,203.9479
4195,4200,-322.1153,322.1153
4795,4800,-25.5084,25.5084
5395,5400,46.2405,-46.2405
5995,6000,125.1687,-125.1687
6594,6600,40.4248,-40.4248
7194,7200,64.9972,-64.9972
7791,7800,78.8009,-78.8009
8389,8400,122.0301,-122.0301
8987,9000,1.2203,-1.2203
9587,9600,-67.4506,67.4506
10187,10200,-82.4838,82.4838
10786,10800,-131.4276,131.4276
11385,11400,-103.5923,103.5923
11985,12000,159.7708,-159.7708
12584,12600,-156.124,156.124
13183,13200,17.9114,-17.9114
13783,13800,27.7067,-27.7067
14383,14400,130.9447,-130.9447
14983,15000,304.7218,-304.7218
15583,15600,326.2924,-326.2924
16181,16200,-352.0747,352.0747
16780,16800,-143.494,143.494
17380,17400,-500.5948,500.5948
17979,18000,-43.6555,43.6555
18579,18600,86.6435,-86.6435
19178,19200,-218.4414,218.4414
19778,19800,-48.5742,48.5742
20378,20400,-347.2175,347.2175
20978,21000,45.3299,-45.3299
21578,21600,-270.8879,270.8879
22178,22200,475.9324,-475.9324
22778,22800,46.3901,-46.3901
23376,23400,-470.4216,470.4216
23975,24000,496.9682,-496.9682
24575,24600,76.6767,-76.6767
25175,25200,-51.0234,51.0234
25775,25800,-95.3324,95.3324
26375,26400,-207.4869,207.4869
26973,27000,-337.372,337.372
27573,27600,-35.1536,35.1536
28173,28200,41.9835,-41.9835
28773,28800,158.0967,-158.0967
29372,29400,-373.3197,373.3197
29971,30000,-257.8195,257.8195
