Episode,timestep,reward1,reward2
3599,3600,470.0042,-470.0042
7195,7200,-118.028,118.028
10785,10800,-82.5354,82.5354
14383,14400,106.3615,-106.3615
17979,18000,-252.7824,252.7824
21578,21600,412.2417,-412.2417
25176,25200,-21.4107,21.4107
28776,28800,-53.6274,53.6274
32373,32400,-299.7019,299.7019
35971,36000,20.4115,-20.4115
39569,39600,-508.2111,508.2111
43166,43200,33.1198,-33.1198
46763,46800,10.4118,-10.4118
50358,50400,436.785,-436.785
53956,54000,-659.9632,659.9632
57556,57600,22.8701,-22.8701
61154,61200,244.529,-244.529
64752,64800,-219.1689,219.1689
68350,68400,387.5184,-387.5184
71947,72000,90.8301,-90.8301
75544,75600,21.156,-21.156
79140,79200,263.7263,-263.7263
82739,82800,271.3898,-271.3898
86337,86400,-373.711,373.711
89933,90000,18.8746,-18.8746
93531,93600,79.0932,-79.0932
97129,97200,187.2411,-187.2411
100725,100800,-118.9991,118.9991
104323,104400,-233.7364,233.7364
107922,108000,-208.7941,208.7941
111520,111600,196.7013,-196.7013
115120,115200,11.2657,-11.2657
118720,118800,-40.8027,40.8027
122319,122400,-143.7263,143.7263
125917,126000,-490.899,490.899
129513,129600,206.7692,-206.7692
133110,133200,410.0089,-410.0089
136707,136800,-93.2927,93.2927
140304,140400,154.1157,-154.1157
143904,144000,-158.6826,158.6826
147502,147600,-186.3453,186.3453
151097,151200,-3.8306,3.8306
154696,154800,-445.4949,445.4949
158291,158400,-214.7509,214.7509
161888,162000,-348.4926,348.4926
165484,165600,-17.0858,17.0858
169084,169200,-201.5508,201.5508
172683,172800,294.2919,-294.2919
176283,176400,-279.7679,279.7679
179880,180000,-106.6635,106.6635
183476,183600,-207.4577,207.4577
187074,187200,117.2676,-117.2676
190673,190800,-153.4585,153.4585
194272,194400,-27.2493,27.2493
197870,198000,-3.9267,3.9267
201464,201600,-353.3656,353.3656
205062,205200,407.3687,-407.3687
208661,208800,-91.6382,91.6382
212261,212400,155.0084,-155.0084
215859,216000,139.1757,-139.1757
219458,219600,106.8219,-106.8219
223058,223200,-371.9403,371.9403
226656,226800,139.4583,-139.4583
230254,230400,78.9303,-78.9303
233852,234000,-4.6151,4.6151
237451,237600,-33.7247,33.7247
241050,241200,-284.1228,284.1228
244644,244800,150.9306,-150.9306
248240,248400,-415.198,415.198
251840,252000,90.4343,-90.4343
255436,255600,295.3315,-295.3315
259036,259200,5.3348,-5.3348
262635,262800,233.2799,-233.2799
266234,266400,310.2983,-310.2983
269834,270000,-31.0768,31.0768
273433,273600,294.5815,-294.5815
277031,277200,-73.3993,73.3993
280629,280800,-124.672,124.672
284223,284400,-191.8413,191.8413
287823,288000,141.2251,-141.2251
291421,291600,-377.5019,377.5019
295017,295200,240.94,-240.94
298616,298800,-543.9463,543.9463
302213,302400,-210.0329,210.0329
305809,306000,-31.8701,31.8701
309407,309600,79.0368,-79.0368
313006,313200,145.1516,-145.1516
316606,316800,495.8064,-495.8064
320205,320400,-345.9545,345.9545
323804,324000,-318.3632,318.3632
327403,327600,181.5676,-181.5676
330997,331200,-216.108,216.108
334592,334800,58.7575,-58.7575
338192,338400,67.8517,-67.8517
341790,342000,81.8272,-81.8272
345389,345600,-210.2553,210.2553
348987,349200,150.9423,-150.9423
352580,352800,-270.9752,270.9752
356177,356400,28.0464,-28.0464
359776,360000,20.4083,-20.4083
363375,363600,-287.3241,287.3241
366973,367200,-294.9853,294.9853
370564,370800,-181.4597,181.4597
374162,374400,377.1838,-377.1838
377760,378000,116.1517,-116.1517
381353,381600,-195.672,195.672
384950,385200,141.9316,-141.9316
388549,388800,-683.7995,683.7995
392146,392400,363.327,-363.327
395744,396000,211.4326,-211.4326
399338,399600,-52.1768,52.1768
402936,403200,-504.7912,504.7912
406535,406800,-154.9736,154.9736
410131,410400,-189.2849,189.2849
413729,414000,-92.8726,92.8726
417324,417600,134.4211,-134.4211
420915,421200,20.3613,-20.3613
424515,424800,-107.3655,107.3655
428113,428400,-1.5314,1.5314
431710,432000,115.2688,-115.2688
435309,435600,190.0384,-190.0384
438907,439200,-78.6989,78.6989
442505,442800,-597.059,597.059
446099,446400,130.9332,-130.9332
449699,450000,-329.3907,329.3907
453299,453600,-366.617,366.617
456898,457200,-69.9805,69.9805
460497,460800,-115.7482,115.7482
464096,464400,-51.416,51.416
467690,468000,232.6138,-232.6138
471290,471600,395.9589,-395.9589
474889,475200,-341.4763,341.4763
478486,478800,36.131,-36.131
482086,482400,-252.5849,252.5849
485684,486000,260.899,-260.899
489281,489600,-506.8182,506.8182
492879,493200,206.3489,-206.3489
496476,496800,229.3513,-229.3513
500076,500400,-72.0626,72.0626
503673,504000,148.3189,-148.3189
507273,507600,-326.8303,326.8303
510868,511200,-19.8076,19.8076
514467,514800,-193.5336,193.5336
