mass_A
t,x,y
3.333333333E-2,-1.347872674E1,2.309678504E0
6.666666667E-2,-1.347896160E1,2.309708485E0
1.000000000E-1,-1.347862500E1,2.309682590E0
1.333333333E-1,-1.347865476E1,2.309682569E0
1.666666667E-1,-1.347867177E1,2.309685124E0
2.000000000E-1,-1.347909763E1,2.310308304E0
2.333333333E-1,-1.347912063E1,2.309550686E0
2.666666667E-1,-1.347896966E1,2.309577360E0
3.000000000E-1,-1.347891230E1,2.309598021E0
3.333333333E-1,-1.347865208E1,2.309973455E0
3.666666667E-1,-1.347846308E1,2.309241464E0
4.000000000E-1,-1.347854200E1,2.309329838E0
4.333333333E-1,-1.347862476E1,2.309355567E0
4.666666667E-1,-1.347869835E1,2.309673856E0
5.000000000E-1,-1.347870914E1,2.310210413E0
5.333333333E-1,-1.347864736E1,2.309468519E0
5.666666667E-1,-1.347862198E1,2.309486535E0
6.000000000E-1,-1.347864748E1,2.309638406E0
6.333333333E-1,-1.347783657E1,2.310050888E0
6.666666667E-1,-1.347721482E1,2.309734395E0
7.000000000E-1,-1.347321786E1,2.307714727E0
7.333333333E-1,-1.346224409E1,2.309196701E0
7.666666667E-1,-1.345303198E1,2.313508074E0
8.000000000E-1,-1.345119692E1,2.312416960E0
8.333333333E-1,-1.342388192E1,2.304167794E0
8.666666667E-1,-1.341587506E1,2.306911775E0
9.000000000E-1,-1.340279994E1,2.312915155E0
9.333333333E-1,-1.340263843E1,2.311786854E0
9.666666667E-1,-1.340257717E1,2.311076706E0
1.000000000E0,-1.335046213E1,2.305404664E0
1.033333333E0,-1.333200883E1,2.311812588E0
1.066666667E0,-1.332948516E1,2.311107481E0
1.100000000E0,-1.332824474E1,2.310649360E0
1.133333333E0,-1.326596207E1,2.308512874E0
1.166666667E0,-1.321940832E1,2.305017522E0
1.200000000E0,-1.321947360E1,2.306761167E0
1.233333333E0,-1.318914790E1,2.301472124E0
1.266666667E0,-1.316350330E1,2.320536960E0
1.300000000E0,-1.313230909E1,2.319323135E0
1.333333333E0,-1.309674793E1,2.294120528E0
1.366666667E0,-1.306675377E1,2.295646435E0
1.400000000E0,-1.303769309E1,2.325575975E0
1.433333333E0,-1.300598948E1,2.325329436E0
1.466666667E0,-1.295437883E1,2.293120456E0
1.500000000E0,-1.292025808E1,2.293690372E0
1.533333333E0,-1.288897706E1,2.329852686E0
1.566666667E0,-1.285303864E1,2.326652978E0
1.600000000E0,-1.285330003E1,2.326079770E0
