mass_A
t,x,y
0.000000000E0,-1.343106247E1,2.352886856E0
3.333333333E-2,-1.343114747E1,2.352745319E0
6.666666667E-2,-1.343116578E1,2.352794415E0
1.000000000E-1,-1.343113140E1,2.352838838E0
1.333333333E-1,-1.343111903E1,2.352837756E0
1.666666667E-1,-1.343111306E1,2.352836955E0
2.000000000E-1,-1.343117188E1,2.352972872E0
2.333333333E-1,-1.343101345E1,2.352856246E0
2.666666667E-1,-1.343103308E1,2.352844337E0
3.000000000E-1,-1.343104685E1,2.352842818E0
3.333333333E-1,-1.340891467E1,2.351724781E0
3.666666667E-1,-1.339583694E1,2.353947113E0
4.000000000E-1,-1.339770304E1,2.353575984E0
4.333333333E-1,-1.338275670E1,2.351926135E0
4.666666667E-1,-1.336888504E1,2.350867894E0
5.000000000E-1,-1.335481342E1,2.354755841E0
5.333333333E-1,-1.333853778E1,2.354601062E0
5.666666667E-1,-1.331343147E1,2.348449651E0
6.000000000E-1,-1.329352654E1,2.349143820E0
6.333333333E-1,-1.327582382E1,2.355546053E0
6.666666667E-1,-1.325105318E1,2.360750268E0
7.000000000E-1,-1.322011229E1,2.351560985E0
7.333333333E-1,-1.318973706E1,2.336146487E0
7.666666667E-1,-1.316892375E1,2.353752546E0
8.000000000E-1,-1.317101673E1,2.353438047E0
8.333333333E-1,-1.310602664E1,2.356037493E0
8.666666667E-1,-1.306873740E1,2.339260770E0
9.000000000E-1,-1.303527434E1,2.343750154E0
9.333333333E-1,-1.303570395E1,2.341204220E0
9.666666667E-1,-1.303594583E1,2.339693408E0
1.000000000E0,-1.291485264E1,2.333708640E0
1.033333333E0,-1.288141681E1,2.329544192E0
1.066666667E0,-1.288245623E1,2.326348689E0
1.100000000E0,-1.288318098E1,2.324702244E0
1.133333333E0,-1.274414470E1,2.325002816E0
1.166666667E0,-1.266112347E1,2.345485166E0
1.200000000E0,-1.265926771E1,2.348620387E0
1.233333333E0,-1.261098453E1,2.352646461E0
1.266666667E0,-1.255055102E1,2.335520171E0
1.300000000E0,-1.250034748E1,2.342068693E0
1.333333333E0,-1.245338181E1,2.351160219E0
1.366666667E0,-1.239884655E1,2.352701249E0
1.400000000E0,-1.233545580E1,2.331327241E0
1.433333333E0,-1.228019228E1,2.346875691E0
1.466666667E0,-1.222278360E1,2.367550980E0
1.500000000E0,-1.215565777E1,2.333808776E0
1.533333333E0,-1.209277516E1,2.306482800E0
1.566666667E0,-1.203467774E1,2.354858439E0
1.600000000E0,-1.203458370E1,2.353917765E0
1.633333333E0,-1.189707910E1,2.338306533E0
1.666666667E0,-1.183059652E1,2.305324776E0
1.700000000E0,-1.177725884E1,2.365068288E0
1.733333333E0,-1.177687270E1,2.366045970E0
1.766666667E0,-1.177665926E1,2.366783983E0
1.800000000E0,-1.155515010E1,2.304077527E0
1.833333333E0,-1.150126728E1,2.394443605E0
1.866666667E0,-1.150205192E1,2.395802568E0
1.900000000E0,-1.150240335E1,2.396666698E0
1.933333333E0,-1.126112883E1,2.275653029E0
1.966666667E0,-1.112928430E1,2.396326617E0
2.000000000E0,-1.112628848E1,2.397022616E0
2.033333333E0,-1.103693118E1,2.368237637E0
2.066666667E0,-1.095180278E1,2.316654570E0
2.100000000E0,-1.088234636E1,2.355589234E0
2.133333333E0,-1.081586152E1,2.370651027E0
2.166666667E0,-1.072771682E1,2.307883071E0
2.200000000E0,-1.063877876E1,2.278011292E0
2.233333333E0,-1.057629731E1,2.383148066E0
2.266666667E0,-1.048994067E1,2.427581871E0
2.300000000E0,-1.039520599E1,2.362786275E0
2.333333333E0,-1.030540395E1,2.258920395E0
2.366666667E0,-1.024343090E1,2.289135418E0
2.400000000E0,-1.024310868E1,2.290235412E0
2.433333333E0,-1.006848850E1,2.417578128E0
2.466666667E0,-9.970523148E0,2.372783997E0
2.500000000E0,-9.882679406E0,2.309407708E0
2.533333333E0,-9.881153844E0,2.308567759E0
2.566666667E0,-9.880250005E0,2.308101522E0
2.600000000E0,-9.637155929E0,2.362366189E0
2.633333333E0,-9.544233630E0,2.374788503E0
2.666666667E0,-9.544396122E0,2.371603916E0
2.700000000E0,-9.544488741E0,2.370217825E0
2.733333333E0,-9.302535967E0,2.266842609E0
2.766666667E0,-9.120242391E0,2.369790596E0
2.800000000E0,-9.120052756E0,2.369259071E0
2.833333333E0,-9.028779919E0,2.413718878E0
2.866666667E0,-8.938636087E0,2.353699472E0
2.900000000E0,-8.859427448E0,2.247398037E0
2.933333333E0,-8.784619380E0,2.265413128E0
2.966666667E0,-8.690648340E0,2.362726036E0
3.000000000E0,-8.577637558E0,2.413988170E0
3.033333333E0,-8.482399048E0,2.351747340E0
3.066666667E0,-8.420428117E0,2.259871936E0
3.100000000E0,-8.360516490E0,2.280507615E0
3.133333333E0,-8.240417086E0,2.364940541E0
3.166666667E0,-8.117947364E0,2.384495338E0
3.200000000E0,-8.117881622E0,2.383949918E0
3.233333333E0,-7.971321694E0,2.279394155E0
3.266666667E0,-7.904011178E0,2.308963644E0
3.300000000E0,-7.781060086E0,2.338640346E0
3.333333333E0,-7.781868821E0,2.338245538E0
3.366666667E0,-7.782433714E0,2.338021636E0
3.400000000E0,-7.525503746E0,2.307832609E0
3.433333333E0,-7.444143041E0,2.328917926E0
3.466666667E0,-7.446287805E0,2.325727548E0
3.500000000E0,-7.447495875E0,2.324349285E0
3.533333333E0,-7.144554113E0,2.305605424E0
3.566666667E0,-6.970842070E0,2.328405032E0
3.600000000E0,-6.968201012E0,2.325708931E0
3.633333333E0,-6.859115683E0,2.294498121E0
3.666666667E0,-6.766670120E0,2.293109837E0
3.700000000E0,-6.686857268E0,2.302447770E0
3.733333333E0,-6.601949517E0,2.314038748E0
3.766666667E0,-6.502055215E0,2.310035489E0
3.800000000E0,-6.410849860E0,2.294664647E0
3.833333333E0,-6.321264772E0,2.292631505E0
3.866666667E0,-6.229701528E0,2.282252633E0
3.900000000E0,-6.140625704E0,2.293824291E0
3.933333333E0,-6.051356699E0,2.309892343E0
3.966666667E0,-5.959944632E0,2.304618898E0
4.000000000E0,-5.960584527E0,2.305655053E0
4.033333333E0,-5.766873327E0,2.254711446E0
4.066666667E0,-5.674736452E0,2.285297656E0
4.100000000E0,-5.593071148E0,2.339302732E0
4.133333333E0,-5.594900609E0,2.338683312E0
4.166666667E0,-5.595893391E0,2.338332603E0
4.200000000E0,-5.301551876E0,2.227858961E0
4.233333333E0,-5.220121803E0,2.291163187E0
4.266666667E0,-5.220116875E0,2.290648134E0
4.300000000E0,-5.219283417E0,2.291151249E0
4.333333333E0,-4.929292366E0,2.233154320E0
4.366666667E0,-4.763941653E0,2.293621202E0
4.400000000E0,-4.763595621E0,2.293192650E0
4.433333333E0,-4.658104083E0,2.351938535E0
4.466666667E0,-4.552243762E0,2.301111781E0
4.500000000E0,-4.461551797E0,2.211915475E0
4.533333333E0,-4.389149457E0,2.221161954E0
4.566666667E0,-4.294118906E0,2.318553012E0
4.600000000E0,-4.180831226E0,2.327090493E0
4.633333333E0,-4.083589911E0,2.265103469E0
4.666666667E0,-4.012655668E0,2.213216988E0
4.700000000E0,-3.931135690E0,2.247146042E0
4.733333333E0,-3.823117536E0,2.309189670E0
4.766666667E0,-3.710230588E0,2.303148777E0
4.800000000E0,-3.712494559E0,2.304775887E0
4.833333333E0,-3.553877406E0,2.216343811E0
4.866666667E0,-3.457677056E0,2.261014114E0
4.900000000E0,-3.350125929E0,2.310228595E0
4.933333333E0,-3.350181893E0,2.309026026E0
4.966666667E0,-3.350350278E0,2.308409124E0
5.000000000E0,-3.092228689E0,2.206143204E0
5.033333333E0,-2.989028569E0,2.273067532E0
5.066666667E0,-2.987899042E0,2.274556516E0
5.100000000E0,-2.987334061E0,2.275405666E0
5.133333333E0,-2.709979998E0,2.195910700E0
5.166666667E0,-2.531657641E0,2.289837970E0
5.200000000E0,-2.531416217E0,2.290744132E0
5.233333333E0,-2.415816709E0,2.324018437E0
5.266666667E0,-2.320470649E0,2.259160240E0
5.300000000E0,-2.253601732E0,2.184019678E0
5.333333333E0,-2.169099226E0,2.203987389E0
5.366666667E0,-2.072320489E0,2.297264419E0
5.400000000E0,-1.949481282E0,2.311243581E0
5.433333333E0,-1.863303188E0,2.236293705E0
5.466666667E0,-1.803381957E0,2.174341013E0
5.500000000E0,-1.713893914E0,2.216240843E0
5.533333333E0,-1.592510174E0,2.304451212E0
5.566666667E0,-1.477836133E0,2.297105074E0
5.600000000E0,-1.480960577E0,2.295006933E0
5.633333333E0,-1.359993359E0,2.172258278E0
5.666666667E0,-1.255303460E0,2.228679439E0
5.700000000E0,-1.124634894E0,2.294700690E0
5.733333333E0,-1.122208665E0,2.293631448E0
5.766666667E0,-1.121013522E0,2.293054521E0
5.800000000E0,-9.059640088E-1,2.177266657E0
5.833333333E0,-7.866738251E-1,2.232322114E0
5.866666667E0,-7.861393997E-1,2.232004588E0
5.900000000E0,-7.858197386E-1,2.231782738E0
5.933333333E0,-5.293156182E-1,2.197980968E0
5.966666667E0,-3.161610082E-1,2.231139317E0
6.000000000E0,-3.153981637E-1,2.231184233E0
6.033333333E0,-1.944770462E-1,2.290462183E0
6.066666667E0,-1.283258024E-1,2.259793047E0
6.100000000E0,-7.336591895E-2,2.170378831E0
6.133333333E0,2.045670161E-2,2.163644562E0
6.166666667E0,1.410160015E-1,2.257871046E0
6.200000000E0,2.595286665E-1,2.301994156E0
6.233333333E0,3.257581582E-1,2.238105878E0
6.266666667E0,3.832663816E-1,2.141632999E0
6.300000000E0,4.742968239E-1,2.171907951E0
6.333333333E0,5.958644873E-1,2.286129030E0
6.366666667E0,7.167057242E-1,2.292377739E0
6.400000000E0,7.170730492E-1,2.292286200E0
