mass_A
t,x,y
0.000000000E0,-1.354148715E1,2.212644685E0
1.039987520E-2,-1.354148715E1,2.212644685E0
2.079975040E-2,-1.354148715E1,2.212644685E0
3.119962560E-2,-1.354148715E1,2.212644685E0
4.159950081E-2,-1.354148715E1,2.212644685E0
5.199937601E-2,-1.354148715E1,2.212644685E0
6.239925121E-2,-1.354148579E1,2.212645631E0
7.279912641E-2,-1.354140402E1,2.212574272E0
8.319900161E-2,-1.354126976E1,2.212426932E0
9.359887681E-2,-1.354126213E1,2.212406118E0
1.039987520E-1,-1.354123284E1,2.212339072E0
1.143986272E-1,-1.354122413E1,2.212344791E0
1.247985024E-1,-1.354117087E1,2.212326326E0
1.351983776E-1,-1.354120988E1,2.212352306E0
1.455982528E-1,-1.354121007E1,2.212359715E0
1.559981280E-1,-1.354125327E1,2.212400544E0
1.663980032E-1,-1.354132377E1,2.212331495E0
1.767978784E-1,-1.354145023E1,2.212382588E0
1.871977536E-1,-1.354149500E1,2.212345879E0
1.975976288E-1,-1.354141523E1,2.212300257E0
2.079975040E-1,-1.354139847E1,2.212331546E0
2.183973792E-1,-1.354138319E1,2.212278057E0
2.287972544E-1,-1.354128969E1,2.212172384E0
2.391971296E-1,-1.354115754E1,2.211962892E0
2.495970048E-1,-1.354114752E1,2.211851508E0
2.599968800E-1,-1.354112968E1,2.211898690E0
2.703967552E-1,-1.354120403E1,2.212117548E0
2.807966304E-1,-1.354123465E1,2.212155075E0
2.911965056E-1,-1.354123443E1,2.212178406E0
3.015963808E-1,-1.354128071E1,2.212159579E0
3.119962560E-1,-1.354132101E1,2.212252169E0
3.223961312E-1,-1.354140800E1,2.212334756E0
3.327960064E-1,-1.354144544E1,2.212483697E0
3.431958816E-1,-1.354142714E1,2.212530921E0
3.535957569E-1,-1.354150377E1,2.212501106E0
3.639956321E-1,-1.354155738E1,2.212391017E0
3.743955073E-1,-1.354157850E1,2.212452993E0
3.847953825E-1,-1.354152805E1,2.212417137E0
3.951952577E-1,-1.354154027E1,2.212615254E0
4.055951329E-1,-1.354157217E1,2.212624983E0
4.159950081E-1,-1.354151889E1,2.212540772E0
4.263948833E-1,-1.354161895E1,2.212470156E0
4.367947585E-1,-1.354156464E1,2.212405984E0
4.471946337E-1,-1.354137859E1,2.212348979E0
4.575945089E-1,-1.354120227E1,2.212343214E0
4.679943841E-1,-1.354121229E1,2.212388863E0
4.783942593E-1,-1.354138768E1,2.212520570E0
4.887941345E-1,-1.354156832E1,2.212640805E0
4.991940097E-1,-1.354156721E1,2.212625810E0
5.095938849E-1,-1.354151075E1,2.212424931E0
5.199937601E-1,-1.354134803E1,2.212197294E0
5.303936353E-1,-1.354135090E1,2.212200092E0
5.407935105E-1,-1.354131274E1,2.212276515E0
5.511933857E-1,-1.354129082E1,2.212482100E0
5.615932609E-1,-1.354126037E1,2.212500711E0
5.719931361E-1,-1.354123779E1,2.212430588E0
5.823930113E-1,-1.354115740E1,2.212339325E0
5.927928865E-1,-1.354115689E1,2.212370578E0
6.031927617E-1,-1.354122743E1,2.212561363E0
6.135926369E-1,-1.354134403E1,2.212658326E0
6.239925121E-1,-1.354138212E1,2.212609164E0
6.343923873E-1,-1.354124073E1,2.212298937E0
6.447922625E-1,-1.354115763E1,2.212028039E0
6.551921377E-1,-1.354108662E1,2.211922272E0
6.655920129E-1,-1.354121274E1,2.211921598E0
6.759918881E-1,-1.354129413E1,2.212007780E0
6.863917633E-1,-1.354128426E1,2.212071012E0
6.967916385E-1,-1.354130125E1,2.212343322E0
7.071915137E-1,-1.354125533E1,2.212464174E0
7.175913889E-1,-1.354132658E1,2.212517679E0
7.279912641E-1,-1.354133086E1,2.212595920E0
7.383911393E-1,-1.354141351E1,2.212622291E0
7.487910145E-1,-1.354143289E1,2.212642725E0
7.591908897E-1,-1.354142566E1,2.212460048E0
7.695907649E-1,-1.354140982E1,2.212512461E0
7.799906401E-1,-1.354145271E1,2.212543280E0
7.903905153E-1,-1.354143860E1,2.212694051E0
8.007903905E-1,-1.354146765E1,2.212800573E0
8.111902657E-1,-1.354147593E1,2.212835634E0
8.215901409E-1,-1.354153483E1,2.212575692E0
8.319900161E-1,-1.354150711E1,2.212458214E0
8.423898913E-1,-1.354148857E1,2.212407995E0
8.527897665E-1,-1.354146619E1,2.212453874E0
8.631896417E-1,-1.354152521E1,2.212435130E0
8.735895169E-1,-1.354145490E1,2.212429008E0
8.839893921E-1,-1.354141089E1,2.212372238E0
8.943892673E-1,-1.354137519E1,2.212315981E0
9.047891425E-1,-1.354137465E1,2.212254886E0
9.151890177E-1,-1.354120200E1,2.212248794E0
9.255888929E-1,-1.354108250E1,2.212177494E0
9.359887681E-1,-1.354104066E1,2.212183230E0
9.463886433E-1,-1.354115780E1,2.212296368E0
9.567885185E-1,-1.354118909E1,2.212305414E0
9.671883937E-1,-1.354120928E1,2.212306318E0
9.775882689E-1,-1.354104239E1,2.212357724E0
9.879881441E-1,-1.354092362E1,2.212324526E0
9.983880193E-1,-1.354086689E1,2.212310301E0
1.008787895E0,-1.354097018E1,2.212390018E0
1.019187770E0,-1.354107076E1,2.212515929E0
1.029587645E0,-1.354114375E1,2.212626381E0
1.039987520E0,-1.354124661E1,2.212740865E0
1.050387395E0,-1.354127966E1,2.212804332E0
1.060787271E0,-1.354135365E1,2.212713007E0
1.071187146E0,-1.354137032E1,2.212521778E0
1.081587021E0,-1.354130421E1,2.212158007E0
1.091986896E0,-1.354131924E1,2.212114563E0
1.102386771E0,-1.354119918E1,2.212091005E0
1.112786647E0,-1.354120141E1,2.212071698E0
1.123186522E0,-1.354118914E1,2.212162995E0
1.133586397E0,-1.354116843E1,2.212299568E0
1.143986272E0,-1.354112782E1,2.212452715E0
1.154386147E0,-1.354113705E1,2.212465270E0
1.164786023E0,-1.354119974E1,2.212320973E0
1.175185898E0,-1.354130415E1,2.212214355E0
1.185585773E0,-1.354131871E1,2.212262364E0
1.195985648E0,-1.354128377E1,2.212353996E0
1.206385523E0,-1.354117052E1,2.212472332E0
1.216785399E0,-1.354119992E1,2.212522911E0
1.227185274E0,-1.354135455E1,2.212642448E0
1.237585149E0,-1.354148136E1,2.212630194E0
1.247985024E0,-1.354148807E1,2.212629488E0
1.258384899E0,-1.354143650E1,2.212521004E0
1.268784775E0,-1.354129757E1,2.212508283E0
1.279184650E0,-1.354130257E1,2.212502816E0
1.289584525E0,-1.354151211E1,2.212489597E0
1.299984400E0,-1.354167389E1,2.212542768E0
1.310384275E0,-1.354176685E1,2.212495166E0
1.320784151E0,-1.354170507E1,2.212677143E0
1.331184026E0,-1.354176099E1,2.212717257E0
1.341583901E0,-1.354163612E1,2.212691469E0
1.351983776E0,-1.354141445E1,2.212643119E0
1.362383651E0,-1.354121149E1,2.212630946E0
1.372783527E0,-1.354116190E1,2.212559031E0
1.383183402E0,-1.354105350E1,2.212444651E0
1.393583277E0,-1.354108105E1,2.212365793E0
1.403983152E0,-1.354108831E1,2.212345699E0
1.414383027E0,-1.354137537E1,2.212458166E0
1.424782903E0,-1.354153422E1,2.212544921E0
1.435182778E0,-1.354161289E1,2.212543519E0
1.445572253E0,-1.354167689E1,2.212504098E0
1.455972128E0,-1.354165248E1,2.212413782E0
1.466372004E0,-1.354155438E1,2.212361937E0
1.476771879E0,-1.354130660E1,2.212329876E0
1.487171754E0,-1.354112672E1,2.212273662E0
1.497571629E0,-1.354099148E1,2.212244851E0
1.507971504E0,-1.354111771E1,2.212197468E0
1.518371380E0,-1.354119570E1,2.212155157E0
1.528771255E0,-1.354039614E1,2.212208614E0
1.539171130E0,-1.326618833E1,2.211411359E0
1.549571005E0,-1.326639800E1,2.211534790E0
1.559970880E0,-1.326507951E1,2.211692075E0
1.570370756E0,-1.326169003E1,2.211674744E0
1.580770631E0,-1.325403477E1,2.211622840E0
1.591170506E0,-1.324751509E1,2.211639615E0
1.601570381E0,-1.323957959E1,2.211881559E0
1.611970256E0,-1.323653523E1,2.211847708E0
1.622370132E0,-1.323339773E1,2.211742644E0
1.632770007E0,-1.322493420E1,2.211936813E0
1.643169882E0,-1.321538274E1,2.212015429E0
1.653569757E0,-1.320830644E1,2.212193884E0
1.663969632E0,-1.320223642E1,2.211980303E0
1.674369508E0,-1.319438913E1,2.211976303E0
1.684769383E0,-1.317914790E1,2.211847662E0
1.695169258E0,-1.317871145E1,2.211884077E0
1.705569133E0,-1.317836189E1,2.211810410E0
1.715969008E0,-1.317562382E1,2.211766485E0
1.726368884E0,-1.317170215E1,2.211597908E0
