mass_A
t,x,y
3.333333333E-2,-1.347850466E1,2.288290212E0
6.666666667E-2,-1.347852575E1,2.288370722E0
1.000000000E-1,-1.347852123E1,2.288264009E0
1.333333333E-1,-1.347838619E1,2.287499053E0
1.666666667E-1,-1.347839538E1,2.287857231E0
2.000000000E-1,-1.347838521E1,2.288674907E0
2.333333333E-1,-1.347582228E1,2.288626372E0
2.666666667E-1,-1.346049335E1,2.286148467E0
3.000000000E-1,-1.346171320E1,2.286828870E0
3.333333333E-1,-1.344743466E1,2.292144753E0
3.666666667E-1,-1.343174191E1,2.288194104E0
4.000000000E-1,-1.341694610E1,2.286081348E0
4.333333333E-1,-1.341720348E1,2.286851046E0
4.666666667E-1,-1.341732982E1,2.287310106E0
5.000000000E-1,-1.336004598E1,2.293883034E0
5.333333333E-1,-1.333385804E1,2.284672750E0
5.666666667E-1,-1.333769953E1,2.285917615E0
6.000000000E-1,-1.333929930E1,2.286698369E0
6.333333333E-1,-1.327131613E1,2.302935273E0
6.666666667E-1,-1.320708632E1,2.274767128E0
7.000000000E-1,-1.320596220E1,2.274040542E0
7.333333333E-1,-1.317841675E1,2.295847176E0
7.666666667E-1,-1.314807952E1,2.307410052E0
8.000000000E-1,-1.311031882E1,2.287553603E0
8.333333333E-1,-1.307212629E1,2.266230082E0
8.666666667E-1,-1.303829587E1,2.289388382E0
9.000000000E-1,-1.300485655E1,2.317859753E0
9.333333333E-1,-1.295852142E1,2.290922514E0
9.666666667E-1,-1.291093211E1,2.257266117E0
1.000000000E0,-1.287662159E1,2.291221635E0
1.033333333E0,-1.283682274E1,2.319701017E0
1.066666667E0,-1.277930407E1,2.287669155E0
1.100000000E0,-1.277855065E1,2.287885821E0
1.133333333E0,-1.268733247E1,2.269421495E0
1.166666667E0,-1.264563487E1,2.306168192E0
1.200000000E0,-1.258401919E1,2.299264392E0
1.233333333E0,-1.258198818E1,2.301149086E0
1.266666667E0,-1.258092465E1,2.302121344E0
1.300000000E0,-1.242369927E1,2.301796418E0
1.333333333E0,-1.236542902E1,2.300156461E0
1.366666667E0,-1.236559334E1,2.301506416E0
1.400000000E0,-1.236571102E1,2.302257824E0
1.433333333E0,-1.218279938E1,2.275258032E0
1.466666667E0,-1.206163340E1,2.303684638E0
1.500000000E0,-1.206149108E1,2.303701998E0
