mass_A
t,x,y
0.000000000E0,-1.347773239E1,2.392478976E0
3.333333333E-2,-1.347761127E1,2.392555609E0
6.666666667E-2,-1.347765070E1,2.392531250E0
1.000000000E-1,-1.347768184E1,2.392516128E0
1.333333333E-1,-1.347723342E1,2.392425554E0
1.666666667E-1,-1.346152537E1,2.393389396E0
2.000000000E-1,-1.346202518E1,2.393114846E0
2.333333333E-1,-1.344764310E1,2.392775038E0
2.666666667E-1,-1.343486224E1,2.393176975E0
3.000000000E-1,-1.342057918E1,2.393038445E0
3.333333333E-1,-1.340495943E1,2.392153418E0
3.666666667E-1,-1.338520711E1,2.391452434E0
4.000000000E-1,-1.336392962E1,2.391597647E0
4.333333333E-1,-1.334405529E1,2.393721962E0
4.666666667E-1,-1.331575779E1,2.392571741E0
5.000000000E-1,-1.329400174E1,2.392339530E0
5.333333333E-1,-1.326378721E1,2.394165129E0
5.666666667E-1,-1.323493146E1,2.392358601E0
6.000000000E-1,-1.323454984E1,2.392402204E0
6.333333333E-1,-1.317193787E1,2.388298095E0
6.666666667E-1,-1.314025573E1,2.408330123E0
7.000000000E-1,-1.309993591E1,2.396151428E0
7.333333333E-1,-1.309838173E1,2.394834882E0
7.666666667E-1,-1.309766777E1,2.394025909E0
8.000000000E-1,-1.297857307E1,2.421839308E0
8.333333333E-1,-1.292900846E1,2.394601862E0
8.666666667E-1,-1.292911824E1,2.393959829E0
9.000000000E-1,-1.292912194E1,2.393497269E0
9.333333333E-1,-1.279496588E1,2.421905416E0
9.666666667E-1,-1.266476979E1,2.334822331E0
1.000000000E0,-1.266711924E1,2.333682093E0
1.033333333E0,-1.262159061E1,2.356452841E0
1.066666667E0,-1.258110424E1,2.422319927E0
1.100000000E0,-1.251564038E1,2.422448099E0
1.133333333E0,-1.242945728E1,2.357137830E0
1.166666667E0,-1.236929328E1,2.349764280E0
1.200000000E0,-1.233683463E1,2.409175215E0
1.233333333E0,-1.227185476E1,2.437894527E0
1.266666667E0,-1.217934911E1,2.365538826E0
1.300000000E0,-1.210716484E1,2.319751604E0
1.333333333E0,-1.206239354E1,2.387940662E0
1.366666667E0,-1.200208206E1,2.456983981E0
1.400000000E0,-1.200108375E1,2.455440203E0
1.433333333E0,-1.181684678E1,2.307110214E0
1.466666667E0,-1.177865230E1,2.362535466E0
1.500000000E0,-1.172047807E1,2.428192259E0
1.533333333E0,-1.172211892E1,2.426043143E0
1.566666667E0,-1.172316266E1,2.424846686E0
1.600000000E0,-1.147590882E1,2.381834704E0
1.633333333E0,-1.142098777E1,2.447919361E0
1.666666667E0,-1.142082344E1,2.450330972E0
1.700000000E0,-1.142069010E1,2.451507401E0
1.733333333E0,-1.115201218E1,2.314668951E0
1.766666667E0,-1.099387353E1,2.454267988E0
1.800000000E0,-1.099381325E1,2.454019309E0
1.833333333E0,-1.088525358E1,2.329524404E0
1.866666667E0,-1.081646814E1,2.306557629E0
1.900000000E0,-1.076059167E1,2.363015216E0
1.933333333E0,-1.067758681E1,2.392308371E0
1.966666667E0,-1.056841982E1,2.386745652E0
2.000000000E0,-1.047900559E1,2.377142046E0
2.033333333E0,-1.040086037E1,2.389519165E0
2.066666667E0,-1.032849775E1,2.355361585E0
2.100000000E0,-1.023643968E1,2.303742731E0
2.133333333E0,-1.014221031E1,2.355753635E0
2.166666667E0,-1.005917100E1,2.436829978E0
2.200000000E0,-1.006153404E1,2.437351636E0
2.233333333E0,-9.887610831E0,2.342155436E0
2.266666667E0,-9.801755208E0,2.274494128E0
2.300000000E0,-9.713697115E0,2.350375812E0
2.333333333E0,-9.713562389E0,2.348635971E0
2.366666667E0,-9.713575759E0,2.347838127E0
2.400000000E0,-9.438152036E0,2.350213031E0
2.433333333E0,-9.363541797E0,2.299299986E0
2.466666667E0,-9.363217874E0,2.300165086E0
2.500000000E0,-9.363070319E0,2.300520489E0
2.533333333E0,-9.072551348E0,2.421348678E0
2.566666667E0,-8.909016100E0,2.320609139E0
2.600000000E0,-8.907646575E0,2.318582457E0
2.633333333E0,-8.831120421E0,2.314703477E0
2.666666667E0,-8.728812453E0,2.364107759E0
2.700000000E0,-8.617225311E0,2.406430427E0
2.733333333E0,-8.519907035E0,2.376522695E0
2.766666667E0,-8.442770450E0,2.322217972E0
2.800000000E0,-8.372705658E0,2.344401302E0
2.833333333E0,-8.280313468E0,2.374776133E0
2.866666667E0,-8.157083143E0,2.373219035E0
2.900000000E0,-8.051082164E0,2.345749245E0
2.933333333E0,-7.978076669E0,2.346002328E0
2.966666667E0,-7.914794523E0,2.379869192E0
3.000000000E0,-7.914779892E0,2.378883513E0
3.033333333E0,-7.685182305E0,2.333689487E0
3.066666667E0,-7.591333628E0,2.314733092E0
3.100000000E0,-7.520479630E0,2.358857038E0
